aqi,pm25,pm10,co,no2,o3,t,h,p,w,temp_sensor,humidity_sensor,mq135_raw
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1034.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1031.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1032.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1031.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1023.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1023.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1019.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1021.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1021.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1019.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1019.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1020.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1018.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1018.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1015.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1015.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1015.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1015.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1017.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1016.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1016.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1014.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1017.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1016.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1015.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1016.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1013.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1011.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1013.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1013.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1013.0
83,83,99.6,0.1,21.8,98.4,33.0,72.5,1002,1.8,33.6,68.8,1013.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1011.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1007.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1007.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1005.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1005.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1003.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,1002.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,1001.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,1000.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,997.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,999.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,997.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,998.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,997.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,996.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,996.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,996.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,995.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,995.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,995.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,994.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,991.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,991.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,991.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,989.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,989.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,989.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,988.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,987.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,987.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,988.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,985.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,985.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,985.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,985.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,984.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,984.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,983.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,982.0
83,83,99.6,0.1,21.75,98.4,33.0,72.5,1002,1.8,33.5,68.6,983.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,981.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,980.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,981.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,979.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,979.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,978.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,975.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,975.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,977.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,973.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,974.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,973.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,973.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,972.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,973.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,971.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,971.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,970.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,969.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,970.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,969.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,968.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,969.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,967.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,966.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,966.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,967.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,965.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,965.0
83,83,99.6,0.1,21.75,98.3,33.0,72.5,1002,1.8,33.5,68.7,964.0
83,83,99.6,0.1,21.75,98.2,33.0,72.5,1002,1.8,33.5,68.8,959.0
83,83,99.6,0.1,21.75,98.2,33.0,72.5,1002,1.8,33.5,68.8,957.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,957.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,957.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,959.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,957.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,956.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,955.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,955.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,955.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,953.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,953.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,953.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,952.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,952.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,950.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,951.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,951.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,950.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,951.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,949.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,949.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,948.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,943.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,946.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,943.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,943.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,942.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,943.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,941.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,942.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,940.0
65,65,78.0,0.1,21.75,98.2,34.0,71.0,1001,2.0,33.5,68.8,941.0
