timestamp,temperature,humidity,mq135_raw
2025-07-16 16:25:01,33.6,68.4,1071.0
2025-07-16 16:25:01,33.6,68.4,1075.0
2025-07-16 16:25:01,33.6,68.5,1077.0
2025-07-16 16:25:01,33.6,68.5,1076.0
2025-07-16 16:25:01,33.6,68.5,1071.0
2025-07-16 16:25:01,33.6,68.5,1075.0
2025-07-16 16:25:01,33.6,68.6,1077.0
2025-07-16 16:25:01,33.6,68.6,1075.0
2025-07-16 16:25:01,33.6,68.6,1075.0
2025-07-16 16:25:01,33.6,68.6,1071.0
2025-07-16 16:25:01,33.6,68.6,1075.0
2025-07-16 16:25:01,33.6,68.6,1071.0
2025-07-16 16:25:01,33.6,68.7,1071.0
2025-07-16 16:25:01,33.6,68.7,1069.0
2025-07-16 16:25:01,33.6,68.7,1069.0
2025-07-16 16:25:01,33.6,68.7,1067.0
2025-07-16 16:25:01,33.6,68.6,1067.0
2025-07-16 16:25:01,33.6,68.6,1066.0
2025-07-16 16:25:01,33.6,68.6,1063.0
2025-07-16 16:25:01,33.6,68.6,1062.0
2025-07-16 16:25:01,33.6,68.6,1060.0
2025-07-16 16:25:01,33.6,68.6,1063.0
2025-07-16 16:25:01,33.6,68.7,1060.0
2025-07-16 16:25:01,33.6,68.7,1056.0
2025-07-16 16:25:01,33.6,68.6,1055.0
2025-07-16 16:25:02,33.6,68.6,1053.0
2025-07-16 16:25:03,33.6,68.7,1049.0
2025-07-16 16:25:04,33.6,68.7,1048.0
2025-07-16 16:25:05,33.6,68.6,1049.0
2025-07-16 16:25:06,33.6,68.6,1047.0
2025-07-16 16:25:07,33.6,68.6,1047.0
2025-07-16 16:25:08,33.6,68.6,1047.0
2025-07-16 16:25:09,33.6,68.6,1045.0
2025-07-16 16:25:10,33.6,68.6,1042.0
2025-07-16 16:25:11,33.6,68.6,1042.0
2025-07-16 16:25:12,33.6,68.6,1039.0
2025-07-16 16:25:13,33.6,68.6,1039.0
2025-07-16 16:25:14,33.6,68.6,1036.0
2025-07-16 16:25:15,33.6,68.6,1035.0
2025-07-16 16:25:16,33.6,68.6,1035.0
2025-07-16 16:25:17,33.6,68.6,1033.0
2025-07-16 16:25:18,33.6,68.6,1034.0
2025-07-16 16:25:19,33.6,68.6,1036.0
2025-07-16 16:25:20,33.6,68.6,1037.0
2025-07-16 16:25:21,33.6,68.6,1033.0
2025-07-16 16:25:22,33.6,68.6,1035.0
2025-07-16 16:25:23,33.7,68.6,1035.0
2025-07-16 16:25:24,33.7,68.6,1039.0
2025-07-16 16:25:25,33.7,68.6,1037.0
2025-07-16 16:25:26,33.7,68.6,1037.0
